FECHA,BASE_REC_ACUM,INTERMEDIO_REC_ACUM,PUNTA_REC_ACUM,BASE_ENT_ACUM,INTERMEDIO_ENT_ACUM,PUNTA_ENT_ACUM
01/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
02/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
03/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
04/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
05/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
06/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
07/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
08/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
09/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
10/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
11/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
12/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
13/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
14/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
15/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
16/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
17/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
18/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
19/05/2026,0.0,86.4,0.0,0.0,907.2,6062.4
20/05/2026,12240.000000000002,820.8000000000001,0.0,0.0,5011.2,11635.2
21/05/2026,23328.000000000004,1540.8000000000002,0.0,0.0,11808.0,20808.0
22/05/2026,41328.0,2275.2000000000003,0.0,0.0,18172.800000000003,30398.4
23/05/2026,59356.8,2980.8,0.0,0.0,35827.200000000004,30398.4
24/05/2026,79876.8,3052.8,0.0,979.2,48268.8,30398.4
25/05/2026,95054.40000000001,3758.4,0.0,979.2,55339.200000000004,40032.0
26/05/2026,113817.6,4507.200000000001,0.0,979.2,62928.0,49363.2
27/05/2026,132840.0,5227.200000000001,0.0,979.2,69940.8,58521.6
28/05/2026,151041.6,5961.6,0.0,979.2,76608.0,67593.6
29/05/2026,168768.0,6681.6,0.0,979.2,80755.2,73080.0
30/05/2026,179856.0,7387.200000000001,0.0,979.2,92678.40000000001,73080.0
31/05/2026,194068.80000000002,7459.200000000001,0.0,1238.4,96148.8,73080.0
01/06/2026,4680.0,748.8000000000001,0.0,0.0,6192.0,7804.8
02/06/2026,20548.8,1483.2000000000003,0.0,0.0,12585.6,17193.6
03/06/2026,38361.6,2217.6000000000004,0.0,0.0,18532.8,24696.0
04/06/2026,53582.399999999994,2952.0000000000005,0.0,0.0,26726.4,33998.399999999994
05/06/2026,73224.0,3672.0000000000005,0.0,0.0,35035.2,43300.799999999996
06/06/2026,93081.59999999999,4521.6,0.0,0.0,35035.2,43300.799999999996
07/06/2026,94003.2,4752.0,0.0,0.0,35035.2,43300.799999999996
08/06/2026,94233.59999999999,5529.6,0.0,0.0,38476.8,47016.0
09/06/2026,102830.4,6292.8,0.0,0.0,40838.4,50198.399999999994
10/06/2026,109468.79999999999,7056.0,0.0,0.0,42998.4,53035.2
11/06/2026,115200.0,7833.6,0.0,0.0,45273.6,55843.2
12/06/2026,121276.79999999999,8596.800000000001,0.0,0.0,46080.0,57009.6
13/06/2026,124027.2,9273.6,0.0,0.0,50630.4,57009.6
14/06/2026,130132.79999999999,9417.6,0.0,590.4,56145.6,57009.6
15/06/2026,137174.4,10152.0,0.0,590.4,61747.2,64857.6
16/06/2026,152323.19999999998,10886.400000000001,0.0,590.4,67593.6,72417.59999999999
17/06/2026,167472.0,11592.0,0.0,590.4,73468.8,79300.8
18/06/2026,181944.0,11678.400000000001,0.0,590.4,73468.8,79300.8
