FECHA,HORA,KWH_REC,KWH_ENT,PERIODO
01/05/2026,1,7743.5805664,0,Base
01/05/2026,2,7351.7601318,0,Base
01/05/2026,3,7471.6026003,0,Base
01/05/2026,4,7440.0288086,0,Base
01/05/2026,5,5007.169098,0,Base
01/05/2026,6,3528.477234,0,Base
01/05/2026,7,3656.390259,0,Base
01/05/2026,8,3959.2945556,0,Base
01/05/2026,9,4197.4683532,0,Base
01/05/2026,10,3760.9871521,0,Base
01/05/2026,11,3995.7473449999998,0,Base
01/05/2026,12,3978.8142395,0,Base
01/05/2026,13,3844.1986084,0,Base
01/05/2026,14,3575.6800537,0,Base
01/05/2026,15,3590.820648,0,Base
01/05/2026,16,3745.2183532999998,0,Base
01/05/2026,17,3361.9845428,0,Base
01/05/2026,18,3052.7117309,0,Base
01/05/2026,19,3124.3755341,0,Base
01/05/2026,20,3027.8107605,0,Intermedio
01/05/2026,21,3047.6102448,0,Intermedio
01/05/2026,22,2934.5201875,0,Intermedio
01/05/2026,23,2956.6809691,0,Intermedio
01/05/2026,24,3143.0227967,0,Intermedio
02/05/2026,1,2992.3673248,0,Intermedio
02/05/2026,2,2886.6502533000003,0,Base
02/05/2026,3,2900.7115935,0,Base
02/05/2026,4,2831.6769256000002,0,Base
02/05/2026,5,2935.0493164,0,Base
02/05/2026,6,3032.0780182,0,Base
02/05/2026,7,2910.3437653,0,Base
02/05/2026,8,3094.2822725,0,Intermedio
02/05/2026,9,3290.8444214,0,Intermedio
02/05/2026,10,3340.5298767,0,Intermedio
02/05/2026,11,3356.7238769,0,Intermedio
02/05/2026,12,3406.9043886,0,Intermedio
02/05/2026,13,3470.289795,0,Intermedio
02/05/2026,14,3428.9451295,0,Intermedio
02/05/2026,15,3250.4238586,0,Intermedio
02/05/2026,16,3087.7596740999998,0,Intermedio
02/05/2026,17,3026.4318084,0,Intermedio
02/05/2026,18,2948.5926512,0,Intermedio
02/05/2026,19,2742.0436401,0,Intermedio
02/05/2026,20,2681.7833863,0,Intermedio
02/05/2026,21,2695.0455474,0,Intermedio
02/05/2026,22,2715.2392731,0,Intermedio
02/05/2026,23,2845.3914031,0,Intermedio
02/05/2026,24,2945.5540466,0,Intermedio
03/05/2026,1,2770.5329285,0,Base
03/05/2026,2,2650.1831358,0,Base
03/05/2026,3,2647.692749,0,Base
03/05/2026,4,2782.2275847,0,Base
03/05/2026,5,2663.1643523,0,Base
03/05/2026,6,2726.3918152,0,Base
03/05/2026,7,2410.40602882,0,Base
03/05/2026,8,3036.2634277,0,Base
03/05/2026,9,3180.594223,0,Base
03/05/2026,10,3314.5019225,0,Base
03/05/2026,11,3294.3164367,0,Base
03/05/2026,12,3531.5553284000002,0,Base
03/05/2026,13,3294.1690215,0,Base
03/05/2026,14,3257.4446411999998,0,Base
03/05/2026,15,3215.1908874,0,Base
03/05/2026,16,2901.7876892,0,Base
03/05/2026,17,3163.3260648,0,Base
03/05/2026,18,4086.0631409000002,0,Base
03/05/2026,19,4843.4915465,0,Base
03/05/2026,20,5032.2641906,0,Intermedio
03/05/2026,21,5170.879181,0,Intermedio
03/05/2026,22,5062.4417725,0,Intermedio
03/05/2026,23,5478.2842103,0,Intermedio
03/05/2026,24,5756.846466,0,Intermedio
04/05/2026,1,5666.8101806,0,Intermedio
04/05/2026,2,5864.1718139,0,Base
04/05/2026,3,5626.0798341,0,Base
04/05/2026,4,5414.9237060000005,0,Base
04/05/2026,5,6801.0878601,0,Base
04/05/2026,6,10107.9536743,0,Base
04/05/2026,7,12017.0134886,0,Intermedio
04/05/2026,8,12693.015136,0,Intermedio
04/05/2026,9,12460.4558105,0,Intermedio
04/05/2026,10,12858.1342169,0,Intermedio
