fecha_vigencia,precio_base,precio_intermedio,precio_punta,cargo_fijo,distribucion,capacidad
2017-12-01,1.0474,1.2568,1.3326,610.1,58.26,172.11
2018-01-01,0.5991,1.0139,1.1364,571.56,58.56,206.83
2018-02-01,0.628,0.9886,1.142,571.56,58.56,200.63
2018-03-01,0.6946,1.109,1.2852,571.56,58.56,230.52
2018-04-01,0.7469,1.2025,1.3963,571.56,58.56,253.48
2018-05-01,0.8102,1.3159,1.5309,571.56,58.56,281.31
2018-06-01,0.8741,1.4303,1.6667,571.56,58.56,309.38
2018-07-01,0.9724,1.6063,1.8758,571.56,58.56,352.6
2018-08-01,1.0862,1.8076,2.1143,571.56,58.56,401.28
2018-09-01,1.2098,2.0287,2.377,571.56,58.56,455.57
2018-10-01,1.2074,2.0244,2.3718,571.56,58.56,454.51
2018-11-01,1.1842,1.983,2.3226,571.56,58.56,444.34
2018-12-01,0.9771,1.6122,1.8823,571.56,58.56,353.32
2019-01-01,0.9819,1.6157,1.8853,591,59.19,352.59
2019-02-01,0.9764,1.606,1.8736,591,59.19,350.19
2019-03-01,0.9921,1.6339,1.9068,591,59.19,357.05
2019-04-01,0.9891,1.6287,1.9006,591,59.19,355.76
2019-05-01,1.005,1.6571,1.9344,591,59.19,362.74
2019-06-01,1.0082,1.6629,1.9412,591,59.19,364.16
2019-07-01,1.0099,1.6659,1.9448,591,59.19,364.9
2019-08-01,1.0033,1.6541,1.9308,591,59.19,362.01
2019-09-01,0.9856,1.6224,1.8932,591,59.19,354.23
2019-10-01,0.9683,1.5915,1.8564,591,59.19,346.63
2019-11-01,0.9675,1.5901,1.8547,591,59.19,346.28
2019-12-01,0.9672,1.5895,1.8541,591,59.19,346.15
2020-01-01,0.9862,1.6219,1.8922,608.73,59.47,353.61
2020-02-01,0.9802,1.6111,1.8794,608.73,59.47,350.97
2020-03-01,0.9854,1.6204,1.8904,608.73,59.47,353.24
2020-04-01,0.9905,1.6296,1.9013,608.73,59.47,355.49
2020-05-01,0.9817,1.6139,1.8827,608.73,59.47,351.64
2020-06-01,0.9741,1.6002,1.8664,608.73,59.47,348.28
2020-07-01,0.9552,1.5663,1.8262,608.73,59.47,339.96
2020-08-01,0.9435,1.5454,1.8013,608.73,59.47,334.82
2020-09-01,0.9218,1.5065,1.7552,608.73,59.47,325.28
2020-10-01,0.9219,1.5068,1.7555,608.73,59.47,325.35
2020-11-01,0.9221,1.5072,1.7559,608.73,59.47,325.44
2020-12-01,0.9212,1.5054,1.7539,608.73,59.47,325.02
2021-01-01,0.9362,1.5273,1.7786,626.99,62.97,328.81
2021-02-01,0.9412,1.5362,1.7892,626.99,62.97,331
2021-03-01,0.943,1.5394,1.793,626.99,62.97,331.78
2021-04-01,0.9713,1.5901,1.8532,626.99,62.97,344.22
2021-05-01,0.9753,1.5974,1.8619,626.99,62.97,346.02
2021-06-01,1.0055,1.6514,1.926,626.99,62.97,359.28
2021-07-01,0.9959,1.6341,1.9055,626.99,62.97,355.03
2021-08-01,0.9943,1.6313,1.9022,626.99,62.97,354.35
2021-09-01,0.9758,1.5982,1.8628,626.99,62.97,346.21
2021-10-01,0.9737,1.5944,1.8584,626.99,62.97,345.29
2021-11-01,0.9811,1.6076,1.874,626.99,62.97,348.53
2021-12-01,0.9911,1.6256,1.8954,626.99,62.97,352.94
2022-01-01,1.0014,1.6429,1.9157,505.9,66.65,356.87
2022-02-01,1.0083,1.6554,1.9305,505.9,66.65,359.94
2022-03-01,1.0083,1.6554,1.9305,505.9,66.65,359.94
2022-04-01,1.0329,1.6995,1.9828,505.9,66.65,370.76
2022-05-01,1.052,1.7336,2.0234,505.9,66.65,379.13
2022-06-01,1.025,1.6853,1.966,505.9,66.65,367.28
2022-07-01,1.0492,1.7286,2.0174,505.9,66.65,377.91
2022-08-01,1.0541,1.7373,2.0277,505.9,66.65,380.04
2022-09-01,1.059,1.746,2.0381,505.9,66.65,382.19
2022-10-01,1.0624,1.7522,2.0455,505.9,66.65,383.71
2022-11-01,1.0647,1.7563,2.0504,505.9,66.65,384.71
2022-12-01,1.0647,1.7563,2.0504,505.9,66.65,384.72
2023-01-01,1.0665,1.7602,2.0551,582.5,63.69,385.88
2023-02-01,1.075,1.7754,2.0732,582.5,63.69,389.61
2023-03-01,1.0912,1.8044,2.1077,582.5,63.69,396.74
2023-04-01,1.104,1.8274,2.135,582.5,63.69,402.38
2023-05-01,1.1268,1.8682,2.1834,582.5,63.69,412.41
2023-06-01,1.1425,1.8963,2.2168,582.5,63.69,419.31
2023-07-01,1.1562,1.9207,2.2458,582.5,63.69,425.3
2023-08-01,1.1465,1.9034,2.2252,582.5,63.69,421.05
2023-09-01,1.137,1.8863,2.205,582.5,63.69,416.86
