fecha_vigencia,precio_basico,precio_intermedio,precio_excedente
2016-12-01,0.793,0.956,2.802
2017-01-01,0.793,0.956,2.802
2017-02-01,0.793,0.956,2.802
2017-03-01,0.793,0.956,2.802
2017-04-01,0.793,0.956,2.802
2017-05-01,0.793,0.956,2.802
2017-06-01,0.793,0.956,2.802
2017-07-01,0.793,0.956,2.802
2017-08-01,0.793,0.956,2.802
2017-09-01,0.793,0.956,2.802
2017-10-01,0.793,0.956,2.802
2017-11-01,0.793,0.956,2.802
2017-12-01,0.793,0.956,2.802
2018-01-01,0.793,0.956,2.802
2018-02-01,0.793,0.956,2.802
2018-03-01,0.793,0.956,2.802
2018-04-01,0.793,0.956,2.802
2018-05-01,0.793,0.956,2.802
2018-06-01,0.793,0.956,2.802
2018-07-01,0.793,0.956,2.802
2018-08-01,0.793,0.956,2.802
2018-09-01,0.793,0.956,2.802
2018-10-01,0.793,0.956,2.802
2018-11-01,0.793,0.956,2.802
2018-12-01,0.793,0.956,2.802
2019-01-01,0.796,0.96,2.813
2019-02-01,0.799,0.964,2.824
2019-03-01,0.802,0.968,2.835
2019-04-01,0.805,0.972,2.846
2019-05-01,0.808,0.976,2.857
2019-06-01,0.811,0.98,2.868
2019-07-01,0.814,0.984,2.879
2019-08-01,0.817,0.988,2.89
2019-09-01,0.82,0.992,2.901
2019-10-01,0.823,0.996,2.912
2019-11-01,0.826,1.0,2.923
2019-12-01,0.829,1.004,2.934
2020-01-01,0.831,1.006,2.941
2020-02-01,0.833,1.008,2.948
2020-03-01,0.835,1.01,2.955
2020-04-01,0.837,1.012,2.962
2020-05-01,0.839,1.014,2.969
2020-06-01,0.841,1.016,2.976
2020-07-01,0.843,1.018,2.983
2020-08-01,0.845,1.02,2.99
2020-09-01,0.847,1.022,2.997
2020-10-01,0.849,1.025,3.004
2020-11-01,0.851,1.028,3.011
2020-12-01,0.853,1.031,3.018
2021-01-01,0.855,1.034,3.026
2021-02-01,0.857,1.037,3.034
2021-03-01,0.859,1.04,3.042
2021-04-01,0.861,1.043,3.05
2021-05-01,0.863,1.046,3.058
2021-06-01,0.865,1.049,3.066
2021-07-01,0.867,1.052,3.074
2021-08-01,0.869,1.055,3.082
2021-09-01,0.871,1.058,3.09
2021-10-01,0.873,1.061,3.098
2021-11-01,0.875,1.064,3.106
2021-12-01,0.877,1.067,3.115
2022-01-01,0.882,1.073,3.134
2022-02-01,0.887,1.079,3.153
2022-03-01,0.892,1.085,3.172
2022-04-01,0.897,1.091,3.191
2022-05-01,0.902,1.097,3.21
2022-06-01,0.907,1.104,3.229
2022-07-01,0.912,1.111,3.248
2022-08-01,0.917,1.118,3.267
2022-09-01,0.922,1.125,3.286
2022-10-01,0.927,1.132,3.306
2022-11-01,0.933,1.139,3.326
2022-12-01,0.939,1.146,3.346
2023-01-01,0.945,1.153,3.367
2023-02-01,0.951,1.16,3.388
2023-03-01,0.957,1.167,3.409
2023-04-01,0.963,1.174,3.43
2023-05-01,0.969,1.181,3.452
2023-06-01,0.975,1.188,3.474
2023-07-01,0.981,1.195,3.496
2023-08-01,0.987,1.203,3.518
2023-09-01,0.993,1.211,3.54
2023-10-01,0.999,1.219,3.562
2023-11-01,1.005,1.227,3.584
2023-12-01,1.011,1.235,3.607
2024-01-01,1.015,1.239,3.62
2024-02-01,1.019,1.243,3.633
2024-03-01,1.023,1.247,3.646
2024-04-01,1.027,1.251,3.659
2024-05-01,1.031,1.255,3.672
2024-06-01,1.035,1.259,3.685
2024-07-01,1.039,1.263,3.698
2024-08-01,1.043,1.267,3.711
2024-09-01,1.047,1.271,3.724
2024-10-01,1.051,1.275,3.737
2024-11-01,1.055,1.28,3.75
2024-12-01,1.059,1.285,3.763
2025-01-01,1.063,1.29,3.777
2025-02-01,1.067,1.295,3.791
2025-03-01,1.071,1.3,3.805
2025-04-01,1.075,1.305,3.819
2025-05-01,1.079,1.31,3.833
2025-06-01,1.083,1.315,3.847
2025-07-01,1.087,1.32,3.861
2025-08-01,1.091,1.325,3.875
2025-09-01,1.095,1.33,3.889
2025-10-01,1.099,1.335,3.903
2025-11-01,1.103,1.34,3.917
2025-12-01,1.107,1.345,3.932
2026-01-01,1.11,1.349,3.944
2026-02-01,1.113,1.353,3.956
2026-03-01,1.116,1.357,3.968
2026-04-01,1.119,1.361,3.98
2026-05-01,1.122,1.365,3.992
2026-06-01,1.125,1.369,4.004
2026-07-01,1.128,1.373,4.016
2026-08-01,1.132,1.377,4.028
2026-09-01,1.136,1.381,4.041
2026-10-01,1.14,1.385,4.054
2026-11-01,1.144,1.389,4.067
2026-12-01,1.148,1.393,4.08
