FECHA_HORA,HORA,PERIODO,KWH_REC_BESS,KWH_ENT_BESS,BESS_REC_kW,BESS_ENT_kW,KWH_REC_ION,KWH_ENT_ION,ION_REC_kW,ION_ENT_kW,BESS_NETO_kWh,ION_NETO_kWh,Mejora_BESS_ION_kWh,Mejora_BESS_ION_kW,IUSA_CON_BESS_ION_kW,IUSA_SIN_BESS_ION_kW
01/05/2026 00:05,24,Intermedio,0.0,0.0,0.0,0.0,7743.5805664,0,92922.9667968,0,0.0,7743.5805664,7743.5805664,92922.9667968,92922.9667968,92922.9667968
01/05/2026 01:05,1,Base,0.0,0.0,0.0,0.0,7351.7601318,0,88221.12158159999,0,0.0,7351.7601318,7351.7601318,88221.12158159999,88221.12158159999,88221.12158159999
01/05/2026 02:05,2,Base,0.0,0.0,0.0,0.0,7471.6026003,0,89659.2312036,0,0.0,7471.6026003,7471.6026003,89659.2312036,89659.2312036,89659.2312036
01/05/2026 03:05,3,Base,0.0,0.0,0.0,0.0,7440.0288086,0,89280.3457032,0,0.0,7440.0288086,7440.0288086,89280.3457032,89280.3457032,89280.3457032
01/05/2026 04:05,4,Base,0.0,0.0,0.0,0.0,5007.169098,0,60086.029176000004,0,0.0,5007.169098,5007.169098,60086.029176000004,60086.029176000004,60086.029176000004
01/05/2026 05:05,5,Base,0.0,0.0,0.0,0.0,3528.477234,0,42341.726808,0,0.0,3528.477234,3528.477234,42341.726808,42341.726808,42341.726808
01/05/2026 06:05,6,Base,0.0,0.0,0.0,0.0,3656.390259,0,43876.683108,0,0.0,3656.390259,3656.390259,43876.683108,43876.683108,43876.683108
01/05/2026 07:05,7,Base,0.0,0.0,0.0,0.0,3959.2945556,0,47511.5346672,0,0.0,3959.2945556,3959.2945556,47511.5346672,47511.5346672,47511.5346672
01/05/2026 08:05,8,Base,0.0,0.0,0.0,0.0,4197.4683532,0,50369.6202384,0,0.0,4197.4683532,4197.4683532,50369.6202384,50369.6202384,50369.6202384
01/05/2026 09:05,9,Base,0.0,0.0,0.0,0.0,3760.9871521,0,45131.8458252,0,0.0,3760.9871521,3760.9871521,45131.8458252,45131.8458252,45131.8458252
