FECHA,HORA,KWH_REC,KWH_ENT,PERIODO
01/05/2026,1,3753.6,0.0,Base
01/05/2026,2,3974.4,0.0,Base
01/05/2026,3,3882.4,0.0,Base
01/05/2026,4,4121.6,0.0,Base
01/05/2026,5,4250.4,0.0,Base
01/05/2026,6,1876.8,0.0,Base
01/05/2026,7,1269.6000000000001,0.0,Base
01/05/2026,8,1306.4,0.0,Base
01/05/2026,9,1306.4,0.0,Base
01/05/2026,10,1269.6000000000001,0.0,Base
01/05/2026,11,1232.8,0.0,Base
01/05/2026,12,1361.6000000000001,0.0,Base
01/05/2026,13,1361.6000000000001,0.0,Base
01/05/2026,14,1251.2,0.0,Base
01/05/2026,15,1232.8,0.0,Base
01/05/2026,16,1159.2,0.0,Base
01/05/2026,17,1196.0,0.0,Base
01/05/2026,18,1214.4,0.0,Base
01/05/2026,19,1214.4,0.0,Base
01/05/2026,20,1196.0,0.0,Intermedio
01/05/2026,21,1196.0,0.0,Intermedio
01/05/2026,22,1251.2,0.0,Intermedio
01/05/2026,23,1177.6,0.0,Intermedio
01/05/2026,24,1177.6,0.0,Intermedio
02/05/2026,1,1269.6000000000001,0.0,Intermedio
02/05/2026,2,1196.0,0.0,Base
02/05/2026,3,1232.8,0.0,Base
02/05/2026,4,1159.2,0.0,Base
02/05/2026,5,1177.6,0.0,Base
02/05/2026,6,1251.2,0.0,Base
02/05/2026,7,1214.4,0.0,Base
02/05/2026,8,1104.0,0.0,Intermedio
02/05/2026,9,1177.6,0.0,Intermedio
02/05/2026,10,1159.2,0.0,Intermedio
02/05/2026,11,1140.8,0.0,Intermedio
02/05/2026,12,1122.4,0.0,Intermedio
02/05/2026,13,1196.0,0.0,Intermedio
02/05/2026,14,1177.6,0.0,Intermedio
02/05/2026,15,1196.0,0.0,Intermedio
02/05/2026,16,1067.2,0.0,Intermedio
02/05/2026,17,1048.8,0.0,Intermedio
02/05/2026,18,1140.8,0.0,Intermedio
02/05/2026,19,1196.0,0.0,Intermedio
02/05/2026,20,1067.2,0.0,Intermedio
02/05/2026,21,1048.8,0.0,Intermedio
02/05/2026,22,1104.0,0.0,Intermedio
02/05/2026,23,1122.4,0.0,Intermedio
02/05/2026,24,1232.8,0.0,Intermedio
03/05/2026,1,1214.4,0.0,Base
03/05/2026,2,1067.2,0.0,Base
