FECHA,BASE_REC,INTERMEDIO_REC,PUNTA_REC,BASE_ENT,INTERMEDIO_ENT,PUNTA_ENT
01/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
02/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
03/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
04/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
05/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
06/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
07/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
08/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
09/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
10/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
11/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
12/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
13/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
14/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
15/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
16/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
17/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
18/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
19/05/2026,0.0,0.0,0.0,0.0,0.0,0.0
20/05/2026,64.8,201.6,21.6,0.0,0.0,0.0
21/05/2026,64.8,194.4,28.8,0.0,0.0,0.0
22/05/2026,64.8,187.20000000000002,28.8,0.0,0.0,0.0
23/05/2026,79.2,208.8,0.0,0.0,0.0,0.0
24/05/2026,223.20000000000002,64.8,0.0,0.0,0.0,0.0
25/05/2026,64.8,194.4,21.6,0.0,0.0,0.0
26/05/2026,64.8,208.8,21.6,0.0,0.0,0.0
27/05/2026,57.6,194.4,21.6,0.0,0.0,0.0
28/05/2026,64.8,194.4,28.8,0.0,0.0,0.0
29/05/2026,64.8,201.6,21.6,0.0,0.0,0.0
30/05/2026,72.0,201.6,0.0,0.0,0.0,0.0
31/05/2026,223.20000000000002,64.8,0.0,0.0,0.0,0.0
01/06/2026,64.8,194.4,21.6,0.0,0.0,0.0
02/06/2026,64.8,194.4,21.6,0.0,0.0,0.0
03/06/2026,64.8,194.4,21.6,0.0,0.0,0.0
04/06/2026,64.8,208.8,21.6,0.0,0.0,0.0
05/06/2026,64.8,316.8,0.0,0.0,2217.6,3441.6
06/06/2026,20793.6,432.0,0.0,0.0,0.0,0.0
07/06/2026,482.40000000000003,144.0,0.0,0.0,0.0,0.0
08/06/2026,136.8,374.40000000000003,0.0,0.0,2966.4,3412.8
09/06/2026,7466.400000000001,367.2,0.0,0.0,1922.4,2822.4
10/06/2026,4910.4,345.6,0.0,0.0,1980.0,2887.2
11/06/2026,5565.6,345.6,7.2,0.0,2851.2,3362.4
12/06/2026,7034.4,345.6,0.0,0.0,2167.2,2815.2
13/06/2026,5680.8,331.2,0.0,0.0,4716.0,0.0
14/06/2026,5666.4,86.4,0.0,201.6,2498.4,0.0
15/06/2026,3160.8,345.6,0.0,0.0,2347.2,3412.8
16/06/2026,6501.6,381.6,64.8,0.0,0.0,0.0
17/06/2026,144.0,338.40000000000003,0.0,0.0,1994.4,2764.8
18/06/2026,5457.6,360.0,0.0,0.0,2203.2,3312.0
19/06/2026,158.4,381.6,0.0,0.0,2469.6,3880.8
20/06/2026,13363.2,345.6,0.0,0.0,216.0,0.0
21/06/2026,439.2,136.8,0.0,0.0,0.0,0.0
22/06/2026,151.20000000000002,633.6,0.0,0.0,2188.8,3376.8
23/06/2026,6292.8,324.0,0.0,0.0,2167.2000000000003,4096.8
24/06/2026,7070.4,374.40000000000003,0.0,0.0,1627.2,1980.0
25/06/2026,4183.2,367.2,0.0,0.0,2829.6,3542.4
26/06/2026,7192.8,338.40000000000003,0.0,0.0,2361.6,4312.8
27/06/2026,7567.2,475.2,0.0,0.0,0.0,0.0
28/06/2026,460.8,165.6,0.0,0.0,0.0,0.0
29/06/2026,136.8,345.6,0.0,0.0,1778.4,2772.0
30/06/2026,5227.2,396.0,0.0,0.0,2383.2000000000003,3254.4
01/07/2026,6393.6,86.4,0.0,0.0,0.0,0.0
