FECHA,BASE_REC,INTERMEDIO_REC,PUNTA_REC
01/05/2026,324.45,0.07,0.0
01/06/2026,0.07,345.1,0.0
01/07/2026,0.07,193.06,0.0
02/05/2026,0.98,326.34,0.0
02/06/2026,0.0,303.66,0.0
02/07/2026,0.0,224.56,0.0
03/05/2026,294.56,0.0,0.0
03/06/2026,0.07,278.25,0.0
03/07/2026,0.07,272.58,0.0
04/05/2026,0.07,354.2,0.0
04/06/2026,0.14,273.7,0.0
04/07/2026,0.8400000000000001,269.71,0.0
05/05/2026,0.07,302.82,0.0
05/06/2026,0.07,142.1,0.0
05/07/2026,193.13,0.0,0.0
06/05/2026,0.0,323.33,0.0
06/06/2026,0.9100000000000001,207.06,0.0
06/07/2026,0.07,151.27,0.0
07/05/2026,0.0,342.3,0.0
07/06/2026,212.24,0.0,0.0
07/07/2026,0.0,0.0,0.0
08/05/2026,0.07,255.64,0.0
08/06/2026,0.07,268.59,0.0
09/05/2026,1.4700000000000002,236.88,0.0
09/06/2026,0.14,155.89,0.0
10/05/2026,206.99,0.0,0.0
10/06/2026,0.07,222.67,0.0
11/05/2026,0.07,259.35,0.0
11/06/2026,0.0,248.92000000000002,0.0
12/05/2026,0.07,229.74,0.0
12/06/2026,0.07,286.3,0.0
13/05/2026,0.0,325.22,0.0
13/06/2026,1.33,251.3,0.0
14/05/2026,0.07,392.0,0.0
14/06/2026,311.78000000000003,0.07,0.0
15/05/2026,0.07,382.34,0.0
15/06/2026,0.07,261.94,0.0
16/05/2026,1.19,321.58,0.0
16/06/2026,0.0,254.45,0.0
17/05/2026,305.2,0.0,0.0
17/06/2026,0.0,181.58,0.0
18/05/2026,0.14,327.04,0.0
18/06/2026,0.07,289.59,0.0
19/05/2026,0.07,247.52,0.0
19/06/2026,0.0,258.37,0.0
20/05/2026,0.14,345.38,0.0
20/06/2026,0.8400000000000001,311.43,0.0
21/05/2026,0.07,239.05,0.0
21/06/2026,331.31,0.0,0.0
22/05/2026,0.07,283.01,0.0
22/06/2026,0.0,308.07,0.0
23/05/2026,1.19,303.1,0.0
23/06/2026,0.0,309.19,0.0
24/05/2026,242.48,0.0,0.0
24/06/2026,0.0,218.19,0.0
25/05/2026,0.07,257.53,0.0
25/06/2026,0.14,308.91,0.0
26/05/2026,0.07,311.29,0.0
26/06/2026,0.07,314.79,0.0
27/05/2026,0.0,212.73,0.0
27/06/2026,1.75,269.01,0.0
28/05/2026,0.07,306.88,0.0
28/06/2026,301.77,0.0,0.0
29/05/2026,0.07,382.48,0.0
29/06/2026,0.0,261.66,0.0
30/05/2026,1.19,386.05,0.0
30/06/2026,0.0,210.56,0.0
31/05/2026,371.84,0.07,0.0
