AÑO,MES,REGIÓN,TARIFA,BASE,INTERMEDIO,SEMIPUNTA,PUNTA,FIJO,CAPACIDAD,HORARIA
2026,Julio,Baja California,DIST,$0.6336,$0.9894,,$1.3403,$1244.7100,$377.1600,SI
2026,Julio,Baja California Sur,DIST,$2.1892,$2.7822,,$3.9244,$1244.7100,$275.1900,SI
2026,Julio,Bajío,DIST,$1.0615,$1.7306,,$2.0514,$1281.5600,$386.3700,SI
2026,Julio,Centro Occidente,DIST,$1.0243,$1.6708,,$1.9656,$757.5100,$386.3700,SI
2026,Julio,Centro Oriente,DIST,$1.0089,$1.7098,,$1.9274,$1006.0900,$386.3700,SI
2026,Julio,Centro Sur,DIST,$1.0511,$1.7287,,$2.0184,$793.1300,$386.3700,SI
2026,Julio,Golfo Centro,DIST,$0.9961,$1.5955,,$1.7996,$1385.2500,$386.3700,SI
2026,Julio,Golfo Norte,DIST,$0.9668,$1.5122,,$1.6406,$1506.0900,$386.3700,SI
2026,Julio,Jalisco,DIST,$1.0437,$1.7106,,$2.0199,$991.9700,$386.3700,SI
2026,Julio,Noroeste,DIST,$0.9664,$1.4497,,$1.6872,$593.3000,$386.3700,SI
2026,Julio,Norte,DIST,$0.9430,$1.5092,,$1.7676,$3341.1800,$386.3700,SI
2026,Julio,Oriente,DIST,$0.9651,$1.6793,,$1.8868,$1908.8500,$386.3700,SI
2026,Julio,Peninsular,DIST,$1.0881,$1.8514,,$2.0204,$1357.7300,$373.0600,SI
2026,Julio,Sureste,DIST,$1.0124,$1.7071,,$1.9708,$1461.9200,$377.1600,SI
2026,Julio,Valle de México Centro,DIST,$1.0930,$1.8700,,$2.1137,$1621.4700,$386.3700,SI
2026,Julio,Valle de México Norte,DIST,$0.8042,$1.3915,,$1.5660,$2110.0700,$377.1600,SI
2026,Julio,Valle de México Sur,DIST,$1.0811,$1.7713,,$2.0775,$1266.2100,$386.3700,SI
