AÑO,MES,REGIÓN,TARIFA,BASE,INTERMEDIO,SEMIPUNTA,PUNTA,FIJO,CAPACIDAD,HORARIA
2026,Julio,Baja California,GDBT,$0.8340,,,,$414.9000,$299.5300,NO
2026,Julio,Baja California Sur,GDBT,$2.9180,,,,$414.9000,$254.4300,NO
2026,Julio,Bajío,GDBT,$1.7870,,,,$427.1900,$292.3600,NO
2026,Julio,Centro Occidente,GDBT,$1.4030,,,,$252.5000,$250.1200,NO
2026,Julio,Centro Oriente,GDBT,$1.6290,,,,$335.3600,$263.1500,NO
2026,Julio,Centro Sur,GDBT,$1.4910,,,,$264.3800,$232.4500,NO
2026,Julio,Golfo Centro,GDBT,$1.6110,,,,$461.7500,$292.3600,NO
2026,Julio,Golfo Norte,GDBT,$1.3400,,,,$502.0300,$256.6300,NO
2026,Julio,Jalisco,GDBT,$1.4480,,,,$330.6600,$234.7900,NO
2026,Julio,Noroeste,GDBT,$1.4750,,,,$197.7700,$299.5300,NO
2026,Julio,Norte,GDBT,$1.5370,,,,$1113.7300,$292.3600,NO
2026,Julio,Oriente,GDBT,$1.3040,,,,$636.2800,$217.1900,NO
2026,Julio,Peninsular,GDBT,$2.0150,,,,$452.5800,$292.3600,NO
2026,Julio,Sureste,GDBT,$1.4440,,,,$487.3100,$238.8300,NO
2026,Julio,Valle de México Centro,GDBT,$1.9420,,,,$540.4900,$299.5300,NO
2026,Julio,Valle de México Norte,GDBT,$2.0620,,,,$703.3600,$287.3700,NO
2026,Julio,Valle de México Sur,GDBT,$2.1630,,,,$422.0700,$292.3600,NO
