AÑO,MES,REGIÓN,TARIFA,BASE,INTERMEDIO,SEMIPUNTA,PUNTA,FIJO,CAPACIDAD,HORARIA
2026,Agosto,Baja California,GDMTO,$0.6940,,,,$414.9000,$327.9600,NO
2026,Agosto,Baja California Sur,GDMTO,$2.2550,,,,$414.9000,$252.1700,NO
2026,Agosto,Bajío,GDMTO,$1.4870,,,,$427.1900,$324.6900,NO
2026,Agosto,Centro Occidente,GDMTO,$1.3510,,,,$252.5000,$286.1100,NO
2026,Agosto,Centro Oriente,GDMTO,$1.4690,,,,$335.3600,$321.9800,NO
2026,Agosto,Centro Sur,GDMTO,$1.2250,,,,$264.3800,$252.5100,NO
2026,Agosto,Golfo Centro,GDMTO,$1.3120,,,,$461.7500,$308.7300,NO
2026,Agosto,Golfo Norte,GDMTO,$1.2260,,,,$502.0300,$327.9600,NO
2026,Agosto,Jalisco,GDMTO,$1.3690,,,,$330.6600,$299.5800,NO
2026,Agosto,Noroeste,GDMTO,$1.2610,,,,$197.7700,$327.9600,NO
2026,Agosto,Norte,GDMTO,$1.2020,,,,$1113.7300,$299.5800,NO
2026,Agosto,Oriente,GDMTO,$1.2820,,,,$636.2800,$279.9400,NO
2026,Agosto,Peninsular,GDMTO,$1.6770,,,,$452.5800,$318.6600,NO
2026,Agosto,Sureste,GDMTO,$1.2380,,,,$487.3100,$248.8100,NO
2026,Agosto,Valle de México Centro,GDMTO,$1.5420,,,,$540.4900,$334.4700,NO
2026,Agosto,Valle de México Norte,GDMTO,$1.5070,,,,$703.3600,$327.9600,NO
2026,Agosto,Valle de México Sur,GDMTO,$1.5560,,,,$422.0700,$336.0000,NO
