AÑO,MES,REGIÓN,TARIFA,BASE,INTERMEDIO,SEMIPUNTA,PUNTA,FIJO,CAPACIDAD,HORARIA
2026,Agosto,Baja California,PDBT,$2.4510,,,,$41.4900,,NO
2026,Agosto,Baja California Sur,PDBT,$3.8040,,,,$41.4900,,NO
2026,Agosto,Bajío,PDBT,$3.7190,,,,$42.7200,,NO
2026,Agosto,Centro Occidente,PDBT,$3.6620,,,,$25.2500,,NO
2026,Agosto,Centro Oriente,PDBT,$3.5730,,,,$33.5400,,NO
2026,Agosto,Centro Sur,PDBT,$3.6270,,,,$26.4400,,NO
2026,Agosto,Golfo Centro,PDBT,$3.8420,,,,$46.1700,,NO
2026,Agosto,Golfo Norte,PDBT,$3.4300,,,,$50.2000,,NO
2026,Agosto,Jalisco,PDBT,$4.2550,,,,$33.0700,,NO
2026,Agosto,Noroeste,PDBT,$3.2540,,,,$19.7800,,NO
2026,Agosto,Norte,PDBT,$3.5580,,,,$111.3700,,NO
2026,Agosto,Oriente,PDBT,$3.6890,,,,$63.6300,,NO
2026,Agosto,Peninsular,PDBT,$3.8860,,,,$45.2600,,NO
2026,Agosto,Sureste,PDBT,$3.7040,,,,$48.7300,,NO
2026,Agosto,Valle de México Centro,PDBT,$3.5650,,,,$54.0500,,NO
2026,Agosto,Valle de México Norte,PDBT,$3.5940,,,,$70.3400,,NO
2026,Agosto,Valle de México Sur,PDBT,$3.6170,,,,$42.2100,,NO
