Default Modbus Map for MW-1411A150-01

Parameter,Address,Regs,Format,Scaling,InZero,InFull,OutZero,OutFull
Vln a scaled,40011,1,UINT16,10,0,6553,0,65530
Vln b scaled,40012,1,UINT16,10,0,6553,0,65530
Vln c scaled,40013,1,UINT16,10,0,6553,0,65530
Vln avg scaled,40014,1,UINT16,10,0,6553,0,65530
Vll ab scaled,40015,1,UINT16,10,0,6553,0,65530
Vll bc scaled,40016,1,UINT16,10,0,6553,0,65530
Vll ca scaled,40017,1,UINT16,10,0,6553,0,65530
Vll avg scaled,40018,1,UINT16,10,0,6553,0,65530
I a scaled,40019,1,UINT16,10,0,6553,0,65530
I b scaled,40020,1,UINT16,10,0,6553,0,65530
I c scaled,40021,1,UINT16,10,0,6553,0,65530
I avg scaled,40022,1,UINT16,10,0,6553,0,65530
V unbal,40023,1,UINT16,10,0,6553,0,65530
I unbal,40024,1,UINT16,10,0,6553,0,65530
Freq,40025,1,UINT16,10,0,6553,0,65530
ART79 Result 8,40026,1,UINT16,10,0,6553,0,65530
kW a scaled,40027,2,INT32,10,-214748364,214748364,-2147483640,2147483640
kW b scaled,40029,2,INT32,10,-214748364,214748364,-2147483640,2147483640
kW c scaled,40031,2,INT32,10,-214748364,214748364,-2147483640,2147483640
kW tot scaled,40033,2,INT32,10,-214748364,214748364,-2147483640,2147483640
kVAR a scaled,40035,2,INT32,10,-214748364,214748364,-2147483640,2147483640
kVAR b scaled,40037,2,INT32,10,-214748364,214748364,-2147483640,2147483640
kVAR c scaled,40039,2,INT32,10,-214748364,214748364,-2147483640,2147483640
kVAR tot scaled,40041,2,INT32,10,-214748364,214748364,-2147483640,2147483640
kVA a scaled,40043,2,INT32,10,-214748364,214748364,-2147483640,2147483640
kVA b scaled,40045,2,INT32,10,-214748364,214748364,-2147483640,2147483640
kVA c scaled,40047,2,INT32,10,-214748364,214748364,-2147483640,2147483640
kVA tot scaled,40049,2,INT32,10,-214748364,214748364,-2147483640,2147483640
PF sign a,40051,2,INT32,10,-214748364,214748364,-2147483640,2147483640
PF sign b,40053,2,INT32,10,-214748364,214748364,-2147483640,2147483640
PF sign c,40055,2,INT32,10,-214748364,214748364,-2147483640,2147483640
PF sign tot,40057,2,INT32,10,-214748364,214748364,-2147483640,2147483640
Vll avg mx,40059,2,INT32,10,-214748364,214748364,-2147483640,2147483640
I avg mx,40061,2,INT32,10,-214748364,214748364,-2147483640,2147483640
kW tot mx,40063,2,INT32,10,-214748364,214748364,-2147483640,2147483640
kVAR tot mx,40065,2,INT32,10,-214748364,214748364,-2147483640,2147483640
kVA tot mx,40067,2,INT32,10,-214748364,214748364,-2147483640,2147483640
Freq mx,40069,2,INT32,10,-214748364,214748364,-2147483640,2147483640
Vll avg mn,40071,2,INT32,10,-214748364,214748364,-2147483640,2147483640
I avg mn,40073,2,INT32,10,-214748364,214748364,-2147483640,2147483640
Freq mn,40075,2,INT32,10,-214748364,214748364,-2147483640,2147483640
kW sd del-rec,40077,2,INT32,10,-214748364,214748364,-2147483640,2147483640
kVA sd del+rec,40079,2,INT32,10,-214748364,214748364,-2147483640,2147483640
kVAR sd del-rec,40081,2,INT32,10,-214748364,214748364,-2147483640,2147483640
kW sd mx d-r,40083,2,INT32,10,-214748364,214748364,-2147483640,2147483640
kVA sd mx d+r,40085,2,INT32,10,-214748364,214748364,-2147483640,2147483640
kVAR sd mx d-r,40087,2,INT32,10,-214748364,214748364,-2147483640,2147483640
Phase Rev,40089,2,INT32,10,-214748364,214748364,-2147483640,2147483640
kWh del,40091,2,INT32-M10K,1,-214748364,214748364,-2147483640,2147483640
kWh rec,40093,2,INT32-M10K,1,-214748364,214748364,-2147483640,2147483640
kWh del+rec,40095,2,INT32-M10K,1,-214748364,214748364,-2147483640,2147483640
