Día,Hora,Minuto,Mes,Carga (kWh),Descarga (kWh)
1,0,5,5,0,0
1,0,10,5,0,0
1,0,15,5,8.8,0
1,0,20,5,9.22,0
1,0,25,5,9.25,0
1,0,30,5,9.2,0
1,0,35,5,9.16,0
1,0,40,5,9.12,0
1,0,45,5,9.12,0
1,0,50,5,9.15,0
1,0,55,5,9.18,0
1,1,0,5,9.23,0
1,1,5,5,9.2,0
1,1,10,5,9.16,0
1,1,15,5,9.12,0
1,1,20,5,9.11,0
1,1,25,5,9.14,0
1,1,30,5,9.18,0
1,1,35,5,9.22,0
1,1,40,5,9.21,0
1,1,45,5,9.17,0
1,1,50,5,9.12,0
1,1,55,5,9.11,0
1,2,0,5,9.13,0
1,2,5,5,7.62,0
1,2,10,5,4.67,0
1,2,15,5,1.66,0
1,2,20,5,0.18,0
1,2,25,5,0.13,0
1,2,30,5,0.12,0
1,2,35,5,0.12,0
1,2,40,5,0.13,0
1,2,45,5,0.17,0
1,2,50,5,0.21,0
1,2,55,5,0.2,0
1,3,0,5,0.16,0
1,3,5,5,0.12,0
1,3,10,5,0.12,0
1,3,15,5,0.12,0
1,3,20,5,0.12,0
1,3,25,5,0.12,0
1,3,30,5,0.12,0
1,3,35,5,0.12,0
1,3,40,5,0.12,0
1,3,45,5,0.12,0
1,3,50,5,0.12,0
1,3,55,5,0.13,0
1,4,0,5,0.14,0
1,4,5,5,0.15,0
1,4,10,5,0.14,0
1,4,15,5,0.13,0
1,4,20,5,0.16,0
1,4,25,5,0.2,0
1,4,30,5,0.2,0
1,4,35,5,0.16,0
1,4,40,5,0.12,0
1,4,45,5,0.12,0
1,4,50,5,0.12,0
1,4,55,5,0.12,0
1,5,0,5,0.12,0
1,5,5,5,0.12,0
1,5,10,5,0.12,0
1,5,15,5,0.12,0
1,5,20,5,0.12,0
1,5,25,5,0.12,0
1,5,30,5,0.12,0
1,5,35,5,0.12,0
1,5,40,5,0.12,0
1,5,45,5,0.12,0
1,5,50,5,0.12,0
1,5,55,5,0.12,0
1,6,0,5,0.12,0
1,6,5,5,0.13,0
1,6,10,5,0.14,0
1,6,15,5,0.15,0
1,6,20,5,0.14,0
1,6,25,5,0.13,0
1,6,30,5,0.12,0
1,6,35,5,0.12,0
1,6,40,5,0.12,0
1,6,45,5,0.12,0
1,6,50,5,0.12,0
1,6,55,5,0.15,0
1,7,0,5,0.19,0
1,7,5,5,0.2,0
1,7,10,5,0.17,0
1,7,15,5,0.13,0
1,7,20,5,0.12,0
1,7,25,5,0.14,0
1,7,30,5,0.18,0
1,7,35,5,0.21,0
1,7,40,5,0.2,0
1,7,45,5,0.16,0
1,7,50,5,0.12,0
1,7,55,5,0.14,0
1,8,0,5,0.18,0
1,8,5,5,0.21,0
1,8,10,5,0.2,0
1,8,15,5,0.17,0
1,8,20,5,0.14,0
1,8,25,5,0.19,0
1,8,30,5,0.22,0
1,8,35,5,0.25,0
1,8,40,5,0.21,0
1,8,45,5,0.16,0
1,8,50,5,0.12,0
1,8,55,5,0.15,0
1,9,0,5,0.2,0
1,9,5,5,0.24,0
1,9,10,5,0.22,0
1,9,15,5,0.18,0
1,9,20,5,0.13,0
1,9,25,5,0.15,0
1,9,30,5,0.19,0
1,9,35,5,0.23,0
1,9,40,5,0.25,0
1,9,45,5,0.25,0
1,9,50,5,0.22,0
1,9,55,5,0.17,0
1,10,0,5,0.13,0
1,10,5,5,0.14,0
1,10,10,5,0.18,0
1,10,15,5,0.23,0
1,10,20,5,0.25,0
1,10,25,5,0.26,0
1,10,30,5,0.25,0
1,10,35,5,0.21,0
1,10,40,5,0.16,0
1,10,45,5,0.12,0
1,10,50,5,0.16,0
1,10,55,5,0.21,0
1,11,0,5,0.25,0
1,11,5,5,0.25,0
1,11,10,5,0.25,0
1,11,15,5,0.22,0
1,11,20,5,0.18,0
1,11,25,5,0.13,0
1,11,30,5,0.12,0
1,11,35,5,0.16,0
1,11,40,5,0.2,0
1,11,45,5,0.25,0
1,11,50,5,0.25,0
1,11,55,5,0.26,0
1,12,0,5,0.24,0
1,12,5,5,0.19,0
1,12,10,5,0.15,0
1,12,15,5,0.12,0
1,12,20,5,0.15,0
1,12,25,5,0.19,0
1,12,30,5,0.24,0
1,12,35,5,0.27,0
1,12,40,5,0.28,0
1,12,45,5,0.27,0
1,12,50,5,0.21,0
1,12,55,5,0.15,0
1,13,0,5,0.12,0
1,13,5,5,0.14,0
1,13,10,5,0.18,0
1,13,15,5,0.23,0
1,13,20,5,0.26,0
1,13,25,5,0.26,0
1,13,30,5,0.26,0
1,13,35,5,0.26,0
1,13,40,5,0.22,0
1,13,45,5,0.17,0
1,13,50,5,0.12,0
1,13,55,5,0.12,0
1,14,0,5,0.15,0
1,14,5,5,0.2,0
1,14,10,5,0.25,0
1,14,15,5,0.26,0
1,14,20,5,0.26,0
1,14,25,5,0.26,0
1,14,30,5,0.26,0
1,14,35,5,0.26,0
1,14,40,5,0.21,0
1,14,45,5,0.18,0
1,14,50,5,0.15,0
1,14,55,5,0.15,0
1,15,0,5,0.16,0
1,15,5,5,0.19,0
1,15,10,5,0.23,0
1,15,15,5,0.26,0
1,15,20,5,0.26,0
1,15,25,5,0.21,0
1,15,30,5,0.17,0
1,15,35,5,0.12,0
1,15,40,5,0.12,0
1,15,45,5,0.12,0
1,15,50,5,0.12,0
1,15,55,5,0.17,0
1,16,0,5,0.22,0
1,16,5,5,0.26,0
1,16,10,5,0.26,0
1,16,15,5,0.26,0
1,16,20,5,0.21,0
1,16,25,5,0.17,0
1,16,30,5,0.12,0
1,16,35,5,0.12,0
1,16,40,5,0.12,0
1,16,45,5,0.12,0
1,16,50,5,0.15,0
1,16,55,5,0.21,0
1,17,0,5,0.27,0
1,17,5,5,0.29,0
1,17,10,5,0.24,0
1,17,15,5,0.18,0
1,17,20,5,0.14,0
1,17,25,5,0.12,0
1,17,30,5,0.12,0
1,17,35,5,0.09,0.37
1,17,40,5,0.05,0.82
1,17,45,5,0.01,1.3
1,17,50,5,0,1.38
1,17,55,5,0,1.37
1,18,0,5,0,1.31
1,18,5,5,0,1.27
1,18,10,5,0,1.28
1,18,15,5,0,1.24
1,18,20,5,0,1.35
1,18,25,5,0,1.59
1,18,30,5,0,1.91
1,18,35,5,0,2.2
1,18,40,5,0,2.27
1,18,45,5,0,2.32
1,18,50,5,0,2.26
1,18,55,5,0,2.14
1,19,0,5,0,2.14
1,19,5,5,0,2.14
1,19,10,5,0,2.14
1,19,15,5,0,1.71
1,19,20,5,0,1.8
1,19,25,5,0,1.84
1,19,30,5,0,1.89
1,19,35,5,0,1.87
1,19,40,5,0,1.86
1,19,45,5,0,1.83
1,19,50,5,0,1.8
1,19,55,5,0,1.78
1,20,0,5,0,1.77
1,20,5,5,0,1.76
1,20,10,5,0,1.75
1,20,15,5,0,1.77
1,20,20,5,0,1.85
1,20,25,5,0,1.91
1,20,30,5,0,1.97
1,20,35,5,0,1.98
1,20,40,5,0,1.97
1,20,45,5,0,1.96
1,20,50,5,0,1.98
1,20,55,5,0,2
1,21,0,5,0,1.95
1,21,5,5,0,1.85
1,21,10,5,0,1.77
1,21,15,5,0,1.76
1,21,20,5,0,1.74
1,21,25,5,0,1.79
1,21,30,5,0,1.84
1,21,35,5,0,1.94
1,21,40,5,0,2
1,21,45,5,0,2
1,21,50,5,0,2.02
1,21,55,5,0,1.94
1,22,0,5,0,1.89
1,22,5,5,0.05,1.29
1,22,10,5,0.09,0.69
1,22,15,5,0.13,0.07
1,22,20,5,0.12,0
1,22,25,5,0.12,0
1,22,30,5,0.12,0
1,22,35,5,0.12,0
1,22,40,5,0.12,0
1,22,45,5,0.12,0
1,22,50,5,0.12,0
1,22,55,5,0.12,0
1,23,0,5,0.12,0
1,23,5,5,0.12,0
1,23,10,5,0.12,0
1,23,15,5,0.13,0
1,23,20,5,0.17,0
1,23,25,5,0.22,0
1,23,30,5,0.23,0
1,23,35,5,0.19,0
1,23,40,5,0.14,0
1,23,45,5,0.12,0
1,23,50,5,0.12,0
1,23,55,5,0.12,0
1,24,0,5,0,0
2,0,5,5,0,0
2,0,10,5,0,0
2,0,15,5,8.73,0
2,0,20,5,9.14,0
2,0,25,5,9.14,0
2,0,30,5,9.13,0
2,0,35,5,9.15,0
2,0,40,5,9.18,0
2,0,45,5,9.22,0
2,0,50,5,9.2,0
2,0,55,5,9.15,0
2,1,0,5,9.11,0
2,1,5,5,9.11,0
2,1,10,5,6.85,0
2,1,15,5,3.87,0
2,1,20,5,0.91,0
2,1,25,5,0.22,0
2,1,30,5,0.2,0
2,1,35,5,0.17,0
2,1,40,5,0.15,0
2,1,45,5,0.15,0
2,1,50,5,0.14,0
2,1,55,5,0.12,0
2,2,0,5,0.12,0
2,2,5,5,0.12,0
2,2,10,5,0.12,0
2,2,15,5,0.12,0
2,2,20,5,0.13,0
2,2,25,5,0.17,0
2,2,30,5,0.2,0
2,2,35,5,0.19,0
2,2,40,5,0.15,0
2,2,45,5,0.12,0
2,2,50,5,0.12,0
2,2,55,5,0.12,0
2,3,0,5,0.12,0
2,3,5,5,0.12,0
2,3,10,5,0.12,0
2,3,15,5,0.12,0
2,3,20,5,0.12,0
2,3,25,5,0.12,0
2,3,30,5,0.12,0
2,3,35,5,0.12,0
2,3,40,5,0.12,0
2,3,45,5,0.14,0
2,3,50,5,0.15,0
2,3,55,5,0.15,0
2,4,0,5,0.14,0
2,4,5,5,0.12,0
2,4,10,5,0.12,0
2,4,15,5,0.12,0
2,4,20,5,0.12,0
2,4,25,5,0.12,0
2,4,30,5,0.12,0
2,4,35,5,0.12,0
2,4,40,5,0.12,0
2,4,45,5,0.12,0
2,4,50,5,0.12,0
2,4,55,5,0.12,0
2,5,0,5,0.12,0
2,5,5,5,0.12,0
2,5,10,5,0.12,0
2,5,15,5,0.12,0
2,5,20,5,0.12,0
2,5,25,5,0.12,0
2,5,30,5,0.12,0
2,5,35,5,0.12,0
2,5,40,5,0.12,0
2,5,45,5,0.12,0
2,5,50,5,0.12,0
2,5,55,5,0.14,0
2,6,0,5,0.15,0
2,6,5,5,0.15,0
2,6,10,5,0.13,0
2,6,15,5,0.12,0
2,6,20,5,0.12,0
2,6,25,5,0.12,0
2,6,30,5,0.12,0
2,6,35,5,0.12,0
2,6,40,5,0.13,0
2,6,45,5,0.16,0
2,6,50,5,0.2,0
2,6,55,5,0.19,0
2,7,0,5,0.19,0
2,7,5,5,0.19,0
2,7,10,5,0.19,0
2,7,15,5,0.12,0
2,7,20,5,0.15,0
2,7,25,5,0.19,0
2,7,30,5,0.2,0
2,7,35,5,0.16,0
2,7,40,5,0.12,0
2,7,45,5,0.12,0
2,7,50,5,0.15,0
2,7,55,5,0.19,0
2,8,0,5,0.21,0
2,8,5,5,0.19,0
2,8,10,5,0.16,0
2,8,15,5,0.15,0
2,8,20,5,0.18,0
2,8,25,5,0.21,0
2,8,30,5,0.21,0
2,8,35,5,0.17,0
2,8,40,5,0.13,0
2,8,45,5,0.13,0
2,8,50,5,0.17,0
2,8,55,5,0.22,0
2,9,0,5,0.22,0
2,9,5,5,0.17,0
2,9,10,5,0.13,0
2,9,15,5,0.15,0
2,9,20,5,0.19,0
2,9,25,5,0.23,0
2,9,30,5,0.21,0
2,9,35,5,0.17,0
2,9,40,5,0.13,0
2,9,45,5,0.14,0
2,9,50,5,0.18,0
2,9,55,5,0.22,0
2,10,0,5,0.21,0
2,10,5,5,0.17,0
2,10,10,5,0.13,0
2,10,15,5,0.16,0
2,10,20,5,0.22,0
2,10,25,5,0.26,0
2,10,30,5,0.24,0
2,10,35,5,0.18,0
2,10,40,5,0.14,0
2,10,45,5,0.12,0
2,10,50,5,0.17,0
2,10,55,5,0.21,0
2,11,0,5,0.25,0
2,11,5,5,0.24,0
2,11,10,5,0.2,0
2,11,15,5,0.15,0
2,11,20,5,0.12,0
2,11,25,5,0.13,0
2,11,30,5,0.18,0
2,11,35,5,0.22,0
2,11,40,5,0.25,0
2,11,45,5,0.22,0
2,11,50,5,0.17,0
2,11,55,5,0.13,0
2,12,0,5,0.12,0
2,12,5,5,0.16,0
2,12,10,5,0.2,0
2,12,15,5,0.24,0
2,12,20,5,0.25,0
2,12,25,5,0.26,0
2,12,30,5,0.23,0
2,12,35,5,0.18,0
